Age,Sex,Raw,brief_inhibit_t,brief_inhibit_p,brief_beh_shift_t,brief_beh_shift_p,brief_cog_shift_t,brief_cog_shift_p,brief_control_t,brief_control_p,brief_monitor_t,brief_monitor_p,brief_memory_t,brief_memory_p,brief_plan_t,brief_plan_p,brief_materials_t,brief_materials_p,brief_task_t,brief_task_p,brief_shift_t,brief_shift_p
14,F,5,,,37,8,36,8,,,37,10,,,,,,,,,,
14,F,6,,,42,26,41,24,,,42,28,,,,,,,,,,
14,F,7,,,48,45,46,38,,,47,45,,,,,33,3,,,,
14,F,8,,,53,64,52,55,,,53,60,,,,,37,10,,,,
14,F,9,,,58,78,57,73,,,58,75,,,,,41,21,,,,
14,F,10,,,64,90,62,87,36,5,63,88,,,,,45,35,36,4,34,4
14,F,11,,,69,96,67,96,38,13,68,93,,,,,49,51,39,11,37,12
14,F,12,,,75,98,73,99,40,20,73,99,33,2,,,53,64,41,21,40,19
14,F,13,34,2,80,99,78,99,43,28,78,99,35,7,32,3,57,73,44,31,43,28
14,F,14,37,8,86,99,83,99,45,36,83,99,38,12,35,7,60,81,47,43,46,37
14,F,15,39,13,91,99,89,99,47,44,89,99,40,19,37,11,64,89,50,56,49,48
14,F,16,41,19,,,,,50,52,,,43,29,39,16,68,95,53,66,53,61
14,F,17,43,28,,,,,52,60,,,46,37,42,24,72,99,55,74,56,71
14,F,18,45,36,,,,,55,68,,,48,46,44,32,76,99,58,79,59,79
14,F,19,47,43,,,,,57,75,,,51,54,46,37,80,99,61,85,62,88
14,F,20,49,51,,,,,59,82,,,53,61,49,46,83,99,64,90,65,94
14,F,21,51,60,,,,,62,87,,,56,69,51,55,87,99,67,94,69,97
14,F,22,54,67,,,,,64,91,,,58,78,54,62,,,70,96,72,98
14,F,23,56,73,,,,,66,93,,,61,86,56,70,,,72,97,75,99
14,F,24,58,79,,,,,69,95,,,63,91,58,77,,,75,98,78,99
14,F,25,60,83,,,,,71,96,,,66,94,61,83,,,78,99,81,99
14,F,26,62,88,,,,,73,98,,,69,96,63,89,,,81,99,84,99
14,F,27,64,91,,,,,76,99,,,71,97,65,93,,,84,99,88,99
14,F,28,66,93,,,,,78,99,,,74,99,68,96,,,86,99,91,99
14,F,29,69,95,,,,,80,99,,,76,99,70,98,,,89,99,94,99
14,F,30,71,97,,,,,83,99,,,79,99,72,99,,,92,99,97,99
14,F,31,73,98,,,,,,,,,81,99,75,99,,,,,,
14,F,32,75,99,,,,,,,,,84,99,77,99,,,,,,
14,F,33,77,99,,,,,,,,,86,99,79,99,,,,,,
14,F,34,79,99,,,,,,,,,89,99,82,99,,,,,,
14,F,35,81,99,,,,,,,,,92,99,84,99,,,,,,
14,F,36,84,99,,,,,,,,,94,99,86,99,,,,,,
14,F,37,86,99,,,,,,,,,,,89,99,,,,,,
14,F,38,88,99,,,,,,,,,,,91,99,,,,,,
14,F,39,90,99,,,,,,,,,,,93,99,,,,,,
14,M,5,,,35,7,34,5,,,36,9,,,,,,,,,,
14,M,6,,,40,21,39,17,,,40,22,,,,,,,,,,
14,M,7,,,45,34,43,30,,,44,31,,,,,33,2,,,,
14,M,8,,,50,52,48,43,,,49,45,,,,,36,8,,,,
14,M,9,,,55,67,53,56,,,53,61,,,,,40,16,,,,
14,M,10,,,60,82,58,74,37,4,58,78,,,,,43,28,35,3,32,2
14,M,11,,,65,93,62,90,39,14,62,90,,,,,46,39,37,9,35,8
14,M,12,,,70,98,67,96,42,28,67,95,34,1,,,49,49,39,18,38,14
14,M,13,34,1,75,99,72,98,44,38,71,98,36,4,31,1,52,60,42,26,41,20
14,M,14,36,6,80,99,76,99,47,45,76,99,38,10,33,4,56,72,44,32,43,30
14,M,15,37,12,85,99,81,99,60,53,80,99,40,17,35,8,59,81,46,38,46,40
14,M,16,39,18,,,,,52,61,,,42,24,37,13,62,87,49,46,49,47
14,M,17,41,23,,,,,55,68,,,44,32,39,18,65,92,51,56,52,54
14,M,18,43,29,,,,,57,75,,,46,41,41,22,69,96,53,65,55,63
14,M,19,45,36,,,,,60,81,,,48,47,43,27,72,98,55,70,57,72
14,M,20,47,42,,,,,62,87,,,50,54,45,32,75,99,58,76,60,82
14,M,21,49,46,,,,,65,92,,,52,62,47,38,78,99,60,83,63,90
14,M,22,51,52,,,,,67,95,,,54,69,49,45,,,62,89,66,96
14,M,23,52,59,,,,,70,96,,,56,77,51,52,,,65,92,68,98
14,M,24,54,66,,,,,72,97,,,58,82,53,59,,,67,95,71,99
14,M,25,56,73,,,,,75,99,,,60,86,55,67,,,69,96,74,99
14,M,26,58,79,,,,,77,99,,,63,88,57,75,,,71,97,77,99
14,M,27,60,83,,,,,80,99,,,65,89,59,82,,,74,98,79,99
14,M,28,62,87,,,,,82,99,,,67,92,61,88,,,76,99,82,99
14,M,29,64,90,,,,,85,99,,,69,94,63,93,,,78,99,85,99
14,M,30,66,93,,,,,88,99,,,71,96,65,95,,,80,99,88,99
14,M,31,67,94,,,,,,,,,73,97,67,96,,,,,,
14,M,32,69,96,,,,,,,,,75,98,69,97,,,,,,
14,M,33,71,98,,,,,,,,,77,99,71,98,,,,,,
14,M,34,73,99,,,,,,,,,79,99,73,99,,,,,,
14,M,35,75,99,,,,,,,,,81,99,75,99,,,,,,
14,M,36,77,99,,,,,,,,,83,99,77,99,,,,,,
14,M,37,79,99,,,,,,,,,,,79,99,,,,,,
14,M,38,81,99,,,,,,,,,,,81,99,,,,,,
14,M,39,82,99,,,,,,,,,,,83,99,,,,,,
15,F,5,,,36,7,35,7,,,37,9,,,,,,,,,,
15,F,6,,,41,23,41,23,,,42,27,,,,,,,,,,
15,F,7,,,46,41,47,40,,,47,44,,,,,35,4,,,,
15,F,8,,,52,57,52,57,,,52,60,,,,,39,14,,,,
15,F,9,,,57,74,58,75,,,57,76,,,,,42,26,,,,
15,F,10,,,62,88,63,89,34,4,62,89,,,,,46,39,36,7,34,3
15,F,11,,,67,95,69,97,37,11,67,95,,,,,50,53,39,17,37,10
15,F,12,,,73,98,74,99,39,18,72,97,34,2,,,54,66,42,25,40,19
15,F,13,34,2,78,99,80,99,42,24,77,98,36,8,33,2,58,77,44,34,43,28
15,F,14,37,8,83,99,85,99,44,31,82,99,39,14,35,6,61,86,47,41,46,39
15,F,15,39,16,88,99,91,99,47,39,87,99,41,23,37,11,65,93,49,49,49,49
15,F,16,42,24,,,,,49,46,,,44,30,40,18,69,96,52,59,52,57
15,F,17,44,32,,,,,52,55,,,46,38,42,25,73,98,55,68,55,67
15,F,18,47,41,,,,,54,64,,,48,46,45,32,77,99,57,77,58,77
15,F,19,49,51,,,,,57,74,,,51,54,47,41,81,99,60,82,61,86
15,F,20,51,60,,,,,59,83,,,53,63,49,50,84,99,62,87,64,93
15,F,21,54,68,,,,,62,89,,,56,72,52,58,88,99,65,92,67,96
15,F,22,56,74,,,,,64,92,,,58,80,54,65,,,68,95,70,98
15,F,23,59,79,,,,,67,95,,,60,85,56,72,,,70,97,74,99
15,F,24,61,84,,,,,69,97,,,63,90,59,79,,,73,98,77,99
15,F,25,64,88,,,,,72,98,,,65,94,61,86,,,75,99,80,99
15,F,26,66,92,,,,,74,98,,,68,96,63,91,,,78,99,83,99
15,F,27,68,95,,,,,77,99,,,70,96,66,93,,,81,99,86,99
15,F,28,71,97,,,,,79,99,,,72,97,68,95,,,83,99,89,99
15,F,29,73,98,,,,,82,99,,,75,97,70,97,,,86,99,92,99
15,F,30,76,99,,,,,84,99,,,77,98,73,98,,,88,99,95,99
15,F,31,78,99,,,,,,,,,80,99,75,99,,,,,,
15,F,32,81,99,,,,,,,,,82,99,78,99,,,,,,
15,F,33,83,99,,,,,,,,,84,99,80,99,,,,,,
15,F,34,85,99,,,,,,,,,87,99,82,99,,,,,,
15,F,35,88,99,,,,,,,,,89,99,85,99,,,,,,
15,F,36,90,99,,,,,,,,,92,99,87,99,,,,,,
15,F,37,93,99,,,,,,,,,,,89,99,,,,,,
15,F,38,95,99,,,,,,,,,,,92,99,,,,,,
15,F,39,98,99,,,,,,,,,,,94,99,,,,,,
15,M,5,,,36,8,35,6,,,37,9,,,,,,,,,,
15,M,6,,,42,24,41,22,,,42,27,,,,,,,,,,
15,M,7,,,47,41,46,40,,,47,43,,,,,36,4,,,,
15,M,8,,,52,58,52,58,,,52,58,,,,,39,14,,,,
15,M,9,,,57,74,57,75,,,56,73,,,,,42,26,,,,
15,M,10,,,62,88,63,89,38,7,61,85,,,,,46,39,37,7,34,3
15,M,11,,,67,94,69,96,41,19,66,93,,,,,49,51,40,18,37,11
15,M,12,,,72,97,74,99,43,31,70,97,36,3,,,52,63,42,26,40,20
15,M,13,36,3,77,99,80,99,46,44,75,98,38,10,34,2,55,73,45,35,43,28
15,M,14,38,11,82,99,85,99,49,56,80,99,40,18,36,7,59,81,47,45,46,37
15,M,15,40,19,87,99,91,99,51,64,84,99,42,26,38,12,62,88,50,56,49,47
15,M,16,42,27,,,,,54,69,,,45,34,40,16,65,91,52,64,52,59
15,M,17,44,35,,,,,57,75,,,47,42,42,22,68,94,55,70,55,69
15,M,18,46,42,,,,,59,80,,,49,52,44,29,72,96,58,77,58,78
15,M,19,48,49,,,,,62,85,,,52,62,46,38,75,97,60,83,61,86
15,M,20,50,54,,,,,64,89,,,54,70,48,46,78,99,63,88,64,92
15,M,21,53,62,,,,,67,93,,,56,77,50,54,81,99,65,93,67,95
15,M,22,55,72,,,,,70,95,,,59,81,52,62,,,68,95,70,98
15,M,23,57,77,,,,,72,97,,,61,85,54,70,,,70,96,73,98
15,M,24,59,82,,,,,75,98,,,63,89,56,77,,,73,97,76,99
15,M,25,61,86,,,,,77,99,,,65,91,58,82,,,75,98,79,99
15,M,26,63,88,,,,,80,99,,,68,93,60,86,,,78,98,82,99
15,M,27,65,91,,,,,83,99,,,70,95,62,88,,,81,99,85,99
15,M,28,67,93,,,,,85,99,,,72,97,64,89,,,83,99,88,99
15,M,29,69,95,,,,,88,99,,,75,98,66,91,,,86,99,91,99
15,M,30,71,97,,,,,91,99,,,77,99,68,93,,,88,99,94,99
15,M,31,73,98,,,,,,,,,79,99,70,95,,,,,,
15,M,32,75,98,,,,,,,,,82,99,72,96,,,,,,
15,M,33,77,99,,,,,,,,,84,99,74,98,,,,,,
15,M,34,79,99,,,,,,,,,86,99,76,99,,,,,,
15,M,35,81,99,,,,,,,,,88,99,78,99,,,,,,
15,M,36,83,99,,,,,,,,,91,99,80,99,,,,,,
15,M,37,85,99,,,,,,,,,,,82,99,,,,,,
15,M,38,87,99,,,,,,,,,,,84,99,,,,,,
15,M,39,89,99,,,,,,,,,,,86,99,,,,,,
